"file","category","confidence","needs_visual_review","referenced","format","width","height","bytes","references"
"src/assets/Common/contactLogo1.png","logo","high","false","true","png","40","40","2432","src/pages/contact.astro"
"src/assets/Common/contactLogo2.png","logo","high","false","true","png","40","40","730","src/pages/contact.astro"
"src/assets/Common/contactLogo3.png","logo","high","false","true","png","40","40","870","src/pages/contact.astro"
"src/assets/Common/contactLogo4.png","logo","high","false","true","png","40","40","620","src/pages/contact.astro"
"src/assets/Device/Alarm.png","product imagery","medium","true","true","png","591","629","188545","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/Device/AlarmInside.png","product imagery","medium","true","true","png","2720","1800","7114195","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/Device/AlarmOutside.png","product imagery","medium","true","true","png","2720","1800","6366381","src/components/constants/device.ts"
"src/assets/Device/BathroomImage.png","product imagery","medium","true","true","png","1440","826","2297009","src/components/constants/device.ts"
"src/assets/Device/BathroomImageMob.png","product imagery","medium","true","true","png","786","722","1029827","src/components/constants/device.ts"
"src/assets/Device/BlackCheck.png","product imagery","medium","true","true","png","59","59","1020","src/components/constants/device.ts"
"src/assets/Device/Camera.png","product imagery","medium","true","true","png","20","19","523","src/components/constants/device.ts"
"src/assets/Device/Lock.png","product imagery","medium","true","true","png","711","461","134285","src/components/constants/device.ts"
"src/assets/Device/LoudAlarm.png","product imagery","medium","true","true","png","22","20","500","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/Device/NoWifi.png","product imagery","medium","true","true","png","24","24","525","src/components/constants/device.ts"
"src/assets/Device/PanicButton.png","product imagery","medium","true","true","png","508","427","118692","src/components/constants/device.ts"
"src/assets/Device/Power.png","product imagery","medium","true","true","png","18","18","470","src/components/constants/device.ts"
"src/assets/Device/StepImage1.png","product imagery","medium","true","true","png","1800","764","1547600","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/Device/StepImage2.png","product imagery","medium","true","true","png","1800","764","1573768","src/components/constants/device.ts; src/components/constants/newHome.ts"
"src/assets/Device/StepImage3.png","product imagery","medium","true","true","png","1800","764","1826182","src/components/constants/device.ts"
"src/assets/Device/StepImage4.png","product imagery","medium","true","true","png","1800","764","1394422","src/components/constants/device.ts"
"src/assets/Home/Discount.png","illustration or photograph","low","true","true","png","1238","663","136542","src/pages/offers/fathers-day-2025.astro"
"src/assets/Home/DiscountNew.png","illustration or photograph","low","true","true","png","822","824","75475","src/pages/offers/yoga-day-2025.astro"
"src/assets/Home/FatherBannerNew.png","illustration or photograph","low","true","true","png","3090","1533","3456234","src/pages/offers/fathers-day-2025.astro"
"src/assets/Home/FatherImage.png","illustration or photograph","low","true","true","png","2598","1216","4119689","src/pages/offers/fathers-day-2025.astro; src/pages/offers/yoga-day-2025.astro"
"src/assets/Home/FathersdayImage.png","illustration or photograph","low","true","false","png","1030","511","761752",""
"src/assets/Home/HandleImage.png","illustration or photograph","low","true","true","png","650","489","534377","src/components/constants/home.ts"
"src/assets/Home/Hero_17.png","illustration or photograph","low","true","true","png","6400","4132","6462672","src/components/constants/home.ts; src/pages/offers/fathers-day-2025.astro; src/pages/offers/yoga-day-2025.astro"
"src/assets/Home/HomePageBannerMobile.png","illustration or photograph","low","true","false","png","393","593","457402",""
"src/assets/Home/HomePageEmergencyBanner.png","illustration or photograph","low","true","false","png","578","497","378795",""
"src/assets/Home/YogadayImage.png","illustration or photograph","low","true","true","png","3090","1534","2180216","src/pages/offers/yoga-day-2025.astro"
"src/assets/Home/appStore.png","logo","high","false","true","png","288","96","6389","src/components/Home/CircleMembership.astro"
"src/assets/Home/bentoMobile.png","illustration or photograph","low","true","true","png","1059","1255","540728","src/components/constants/home.ts"
"src/assets/Home/circleApp.png","screenshot","medium","true","true","png","2560","1086","1198754","src/components/constants/home.ts"
"src/assets/Home/circleAppMobile.png","screenshot","medium","true","true","png","706","733","499119","src/components/constants/home.ts"
"src/assets/Home/googleStore.png","logo","high","false","true","png","324","96","5770","src/components/Home/CircleMembership.astro"
"src/assets/Home/notifications.png","screenshot","medium","true","true","png","2560","1172","272723","src/components/Home/ScrollText.astro"
"src/assets/Home/powerfulBento.png","illustration or photograph","low","true","true","png","2720","1172","846050","src/components/constants/home.ts"
"src/assets/Home/powerfulFeat1.png","illustration or photograph","low","true","true","png","706","837","68900","src/components/constants/home.ts"
"src/assets/Home/powerfulFeat1Mobile.png","illustration or photograph","low","true","true","png","1059","1255","120818","src/components/constants/home.ts"
"src/assets/Home/powerfulFeat2.png","illustration or photograph","low","true","true","png","1560","1278","251193","src/components/constants/home.ts"
"src/assets/Home/powerfulFeat2Mobile.png","illustration or photograph","low","true","true","png","1059","869","155248","src/components/constants/home.ts"
"src/assets/Home/powerfulFeatDemo.png","illustration or photograph","low","true","true","png","2560","1172","541022","src/components/Home/ScrollText.astro"
"src/assets/Home/shop1new.png","illustration or photograph","low","true","true","png","1160","1161","2185884","src/components/constants/home.ts"
"src/assets/Home/shop2new.png","illustration or photograph","low","true","true","png","1161","1161","1248238","src/components/constants/home.ts"
"src/assets/Home/shop3new.png","illustration or photograph","low","true","true","png","1161","1161","1479650","src/components/constants/home.ts"
